Stage Name,Full Name,Date of Birth,Group,Debut,Company,Country,Height,Weight,Birthplace,Gender,Debut Age,BMI,Debut Year,Current Year,Career Length
Hayoung,Oh Hayoung,1996-07-19,Apink,2011-04-19,Plan A,South Korea,167.0,57.0,Seoul,F,15,20.43816558499767,2011,2024,13
Hayoung,Song Hayoung,1997-09-29,fromis_9,2018-01-24,Off The Record,South Korea,170.0,57.0,Gwangju,F,20,19.723183391003463,2018,2024,6
Hayoung,Lee Hayoung,1993-08-03,Playback,2015-06-25,Coridel,South Korea,170.0,57.0,Unknown,F,22,19.723183391003463,2015,2024,9
Hayoung,Choi Hayoung,2000-08-22,TRCNG,2017-10-10,TS,South Korea,181.0,57.0,Unknown,M,17,17.398736302310674,2017,2024,7
Hayun,Choi Hayun,2004-01-16,Hi-L,2021-08-11,Kpop Live,South Korea,170.0,57.0,Seoul,F,18,19.723183391003463,2021,2024,3
Heechan,Yang Heechan,1999-07-31,DKB,2020-02-03,Brave,South Korea,176.0,63.0,Unknown,M,21,20.33832644628099,2020,2024,4
Heechul,Kim Heechul,1983-07-10,Super Junior,2005-11-06,SM,South Korea,179.0,60.0,Hoengseong,M,22,18.726007303142847,2005,2024,19
Heechul,Jung Heechul,1989-12-09,ZE:A,2010-01-07,Star Empire,South Korea,170.0,57.0,Jeju,M,20,19.723183391003463,2010,2024,14
Heedo,Yoon Heedo,1996-04-22,B.I.G,2014-07-09,GH,South Korea,180.0,60.0,Seoul,M,18,18.51851851851852,2014,2024,10
Heejin,Song Heejin,1995-08-19,Good Day,2017-08-30,C9,South Korea,170.0,57.0,Seoul,F,22,19.723183391003463,2017,2024,7
Heejin,Jeon Heejin,2000-10-19,LOONA,2018-08-20,Blockberry,South Korea,170.0,57.0,Seongnam,F,18,19.723183391003463,2018,2024,6
Heejoo,Jeon Heejoo,1996-11-30,Ho1iday,2013-04-26,LOEN,South Korea,170.0,57.0,Unknown,F,16,19.723183391003463,2013,2024,11
Heejun,Oh Heejun,1996-05-08,KNK,2016-03-03,YNB,South Korea,180.0,61.0,Unknown,M,20,18.827160493827158,2016,2024,8
Heeo,Gwak Heeoh,1994-05-02,4TEN,2014-08-26,Jungle,South Korea,170.0,57.0,Unknown,F,20,19.723183391003463,2014,2024,10
Heeseok,Yun Heeseok,1997-06-10,Limitless,2019-07-09,ONO,South Korea,180.0,61.0,Unknown,M,22,18.827160493827158,2019,2024,5
Heeseung,Lee Heeseung,2001-10-15,ENHYPEN,2020-11-30,Be:lift,South Korea,170.0,57.0,Unknown,M,19,19.723183391003463,2020,2024,4
Heesu,Kim Heesu,1998-03-24,Maka Maka,2020-08-04,Dreamus,South Korea,170.0,57.0,Unknown,F,22,19.723183391003463,2020,2024,4
Heesun,Park Heesun,2005-01-25,Pink Fantasy,2018-10-28,My Doll,South Korea,162.0,45.0,Unknown,F,14,17.146776406035663,2018,2024,6
Heeyu,Choi Heejae,1995-06-30,MIXX,2016-05-02,Chiko,South Korea,159.0,57.0,Unknown,F,21,22.54657648036074,2016,2024,8
Henry,Henry Lau,1989-10-11,Super Junior-M,2005-11-06,SM,Canada,176.0,63.0,Toronto,M,16,20.33832644628099,2005,2024,19
High.D,Kim Dohee,1996-12-21,Sonamoo,2014-12-29,TS,South Korea,165.0,57.0,Suwon,F,18,20.936639118457304,2014,2024,10
HighTop,Lim Hyeontae,1994-03-19,Bigflo,2014-07-19,HO,South Korea,178.0,60.0,Unknown,M,20,18.93700290367378,2014,2024,10
Hikaru,Ezaki Hikaru,2004-03-12,Kep1er,2022-03-01,WakeOne,Japan,155.0,57.0,Unknown,F,18,23.725286160249738,2022,2024,2
Himchan,Kim Himchan,1990-04-19,B.A.P,2012-01-27,TS,South Korea,180.0,69.0,Seoul,M,22,21.296296296296294,2012,2024,12
Hina,Nagai Hina,2003-04-07,LIGHTSUM,2021-06-10,Cube,Japan,170.0,57.0,Kanagawa,F,18,19.723183391003463,2021,2024,3
Hitomi,Honda Hitomi,2001-10-06,IZ*ONE,2018-10-29,Off The Record,Japan,170.0,57.0,Toghichi,F,17,19.723183391003463,2018,2024,6
Hohyeon,Lee Hohyeon,2001-10-14,TRCNG,2017-10-10,TS,South Korea,177.0,57.0,Unknown,M,16,18.194005553959588,2017,2024,7
Hojoon,Jeon Hojoon,1992-10-31,Topp Dogg,2020-04-01,n.CH,South Korea,170.0,57.0,Gwangju,M,27,19.723183391003463,2020,2024,4
Hojung,Go Hojung,1994-10-20,HOTSHOT,2014-10-29,Star Crew,South Korea,170.0,57.0,Unknown,M,20,19.723183391003463,2014,2024,10
Hongbin,Lee Hongbin,1993-09-29,VIXX,2012-05-24,Jellyfish,South Korea,181.0,62.0,Seoul,M,19,18.924941241109856,2012,2024,12
Honggi,Lee Honggi,1990-03-02,FTISLAND,2007-06-07,FNC,South Korea,170.0,57.0,Gwangju,M,17,19.723183391003463,2007,2024,17
Hongil,Yoon Hongil,1999-01-11,Astin,2022-11-16,AB Creative,South Korea,170.0,57.0,Unknown,M,24,19.723183391003463,2022,2024,2
Hongjoong,Kim Hongjoong,1998-11-07,ATEEZ,2018-10-24,KQ,South Korea,171.0,57.0,Unknown,M,20,19.493177387914233,2018,2024,6
Hongseob,Shim Hongseob,1998-01-08,24K,2012-09-06,Choeun,South Korea,177.0,58.0,Unknown,M,15,18.513198633853616,2012,2024,12
Hongseok,Yang Hongseok,1994-04-17,PENTAGON,2016-10-10,Cube,South Korea,170.0,57.0,Unknown,M,22,19.723183391003463,2016,2024,8
Hoon,Yeo Hoonmin,1991-08-16,U-KISS,2008-08-28,NH Media,South Korea,170.0,57.0,Namyangju,M,17,19.723183391003463,2008,2024,16
Hoony,Lee Seunghoon,1992-01-11,WINNER,2014-08-12,YG,South Korea,170.0,57.0,Busan,M,23,19.723183391003463,2014,2024,10
Hoshi,Kwon Soonyoung,1996-06-15,Seventeen,2015-05-26,Pledis,South Korea,178.0,63.0,Namyangju,M,19,19.883853048857468,2015,2024,9
Hoyoung,Bae Hoyoung,1998-08-10,Verivery,2019-09-01,Jellyfish,South Korea,170.0,57.0,Unknown,M,21,19.723183391003463,2019,2024,5
Hueningkai,Kai Kamal Huening,2002-08-14,TXT,2019-03-04,Big Hit,USA,170.0,57.0,Unknown,M,17,19.723183391003463,2019,2024,5
Hui,Liang Hui,1995-07-18,24K,2012-09-06,Choeun,China,178.0,58.0,Unknown,M,17,18.30576947355132,2012,2024,12
Hui,Lee Hwitaek,1993-08-28,PENTAGON,2016-10-10,Cube,South Korea,170.0,57.0,Unknown,M,23,19.723183391003463,2016,2024,8
Huihyeon,Ki Huihyeon,1995-06-16,DIA,2015-07-14,MBK,South Korea,167.0,46.0,Namwon,F,20,16.493958191401628,2015,2024,9
Huijun,Noh Huijun,2003-10-07,MCND,2020-02-27,TOP Media,South Korea,170.0,57.0,Unknown,M,16,19.723183391003463,2020,2024,4
Hunter,Papungkorn Lertkiatdamrong,2005-10-05,xikers,2023-03-30,KQ,Thailand,170.0,57.0,Unknown,M,17,19.723183391003463,2023,2024,1
Hwanhee,Lee Hwanhee,1998-05-06,UP10TION,2015-09-10,TOP Media,South Korea,170.0,57.0,Daejeon,M,17,19.723183391003463,2015,2024,9
Hwani,Jo Sihyeon,1994-11-16,DUSTIN,2020-01-06,LPA,South Korea,170.0,57.0,Unknown,M,25,19.723183391003463,2020,2024,4
Hwanwoong,Yeo Hwanwoong,1998-08-26,Oneus,2019-01-09,RBW,South Korea,170.0,57.0,Unknown,M,20,19.723183391003463,2019,2024,5
Hwarang,Park Jonghan,1995-12-05,Spectrum,2018-05-09,WYNN,South Korea,170.0,57.0,Unknown,M,22,19.723183391003463,2018,2024,6
Hwarang,Son Jaewon,2001-04-23,TEMPEST,2022-03-02,Yuehua,South Korea,179.0,61.0,Unknown,M,21,19.038107424861895,2022,2024,2
Hwasa,Ahn Hyejin,1995-07-23,Mamamoo,2014-06-18,RBW,South Korea,162.0,44.0,Jeonju,F,19,16.76573693034598,2014,2024,10
Hweseung,Yoo Hweseung,1995-02-28,N.Flying,2015-05-20,FNC,South Korea,170.0,57.0,Unknown,M,20,19.723183391003463,2015,2024,9
Hwi,Lee Choonghyun,1999-02-04,Ciipher,2021-03-15,Rain,South Korea,172.0,61.0,Unknown,M,22,20.61925365062196,2021,2024,3
Hwi,Jo Mingyu,2002-09-26,Newkidd,2019-04-25,J-FLO,South Korea,170.0,57.0,Unknown,M,17,19.723183391003463,2019,2024,5
Hwi,Eun Hwi,2004-11-11,TNX,2022-05-17,P NATION,South Korea,170.0,57.0,Gangwon,M,18,19.723183391003463,2022,2024,2
Hwichan,Lee Heechan,1996-04-18,Limitless,2019-07-09,ONO,South Korea,170.0,57.0,Unknown,M,23,19.723183391003463,2019,2024,5
Hwiseo,Jo Hwihyeon,2002-07-31,H1-KEY,2022-01-05,GLG,South Korea,168.0,57.0,Unknown,F,19,20.19557823129252,2022,2024,2
Hwiyoung,Kim Youngkyun,1999-05-11,SF9,2016-10-05,FNC,South Korea,170.0,57.0,Unknown,M,17,19.723183391003463,2016,2024,8
Hyangsuk,Lee Hyangsuk,1991-04-24,2EYES,2013-07-20,SidusHQ,South Korea,165.0,57.0,Seoul,F,22,20.936639118457304,2013,2024,11
Hyebin,Kim Hyebin,1997-03-29,AREAL,2020-08-21,JZ Factory,South Korea,170.0,57.0,Unknown,F,23,19.723183391003463,2020,2024,4
Hyebin,Im Hyebin,1999-11-10,Highteen,2016-10-14,Elijah,South Korea,170.0,57.0,Unknown,F,17,19.723183391003463,2016,2024,8
Hyebin,Lee Hyebin,1996-01-12,MOMOLAND,2016-11-09,Double Kick,South Korea,165.0,44.0,Andong,F,21,16.161616161616163,2016,2024,8
Hyein,Lee Hyein,2008-04-21,NewJeans,2022-07-22,ADOR,South Korea,170.0,57.0,Incheon,F,14,19.723183391003463,2022,2024,2
Hyejeong,Shin Hyejeong,1993-08-10,AoA,2012-07-30,FNC,South Korea,170.0,48.0,Seoul,F,19,16.60899653979239,2012,2024,12
Hyeji,Jeong Hyeji,1992-04-02,4TEN,2014-08-26,Jungle,South Korea,170.0,57.0,Seoul,F,22,19.723183391003463,2014,2024,10
Hyejin,Baek Hyejin,1996-11-21,4TEN,2014-08-26,Jungle,South Korea,170.0,57.0,Sacheon,F,18,19.723183391003463,2014,2024,10
Hyejin,Kang Hyejin,2000-07-13,CRAXY,2020-03-03,SAITEINMENT,South Korea,170.0,57.0,Unknown,F,20,19.723183391003463,2020,2024,4
Hyejoo,Park Hyunjoo,1999-01-12,Highteen,2016-10-14,Elijah,South Korea,170.0,57.0,Unknown,F,18,19.723183391003463,2016,2024,8
Hyeju,Hong Hyeju,2003-12-09,CLASS:y,2022-05-05,Universal,South Korea,166.0,57.0,Seoul,F,18,20.685150239512268,2022,2024,2
Hyemi,Pyo Hyemi,1991-04-03,9Muses,2010-08-12,Star Empire,South Korea,171.0,46.0,Gwangju,F,19,15.731336137614994,2010,2024,14
Hyemi,Kim Hyemi,1990-08-10,Fiestar,2012-08-31,LOEN,South Korea,161.0,57.0,Seoul,F,22,21.98989236526368,2012,2024,12
Hyeoeun,Lee Hyoeun,1993-03-16,Stellar,2011-08-28,Pascal,South Korea,170.0,57.0,Seoul,F,18,19.723183391003463,2011,2024,13
Hyeongjun,Song Hyeongjun,2002-11-30,CRAVITY,2020-04-14,Starship,South Korea,174.0,55.0,Unknown,M,17,18.166204254194742,2020,2024,4
Hyeongseok,Chu Hyeongseok,2000-09-13,Astin,2022-11-16,AB Creative,South Korea,170.0,57.0,Unknown,M,22,19.723183391003463,2022,2024,2
Hyeongshin,Kim Hyungshin,2002-05-03,HOT ISSUE,2017-05-17,FNC,South Korea,170.0,57.0,Unknown,F,15,19.723183391003463,2017,2024,7
Hyeri,Lee Hyeri,1994-06-09,Girl's Day,2010-07-09,DreamT,South Korea,167.0,46.0,Gwangju,F,16,16.493958191401628,2010,2024,14
Hyerim,Woo Hyerim,1992-09-01,Wonder Girls,2007-02-13,JYP,South Korea,167.0,57.0,Seoul,F,14,20.43816558499767,2007,2024,17
Hyerin,Kim Hyerin,1993-06-13,2EYES,2013-07-20,SidusHQ,South Korea,170.0,57.0,Seoul,F,20,19.723183391003463,2013,2024,11
Hyerin,Seo Hyerin,1993-08-23,EXID,2012-02-16,Yedang,South Korea,165.0,57.0,Gwangju,F,18,20.936639118457304,2012,2024,12
Hyerin,Jeong Hyerin,2007-04-12,tripleS,2023-02-13,MODHAUS,South Korea,170.0,57.0,Unknown,F,16,19.723183391003463,2023,2024,1
Hyewon,Kang Hyewon,1999-07-05,IZ*ONE,2018-10-29,Off The Record,South Korea,170.0,57.0,Yangsan,F,19,19.723183391003463,2018,2024,6
Hyeyeon,Kang Hyeyeon,1990-12-08,BESTie,2013-07-11,YNB,South Korea,170.0,57.0,Unknown,F,23,19.723183391003463,2013,2024,11
Hyogyeong,Jang Hyogyeong,1999-11-15,ARIAZ,2019-10-23,Rising Star,South Korea,170.0,57.0,Unknown,F,20,19.723183391003463,2019,2024,5
Hyojin,Kim Hyojin,1994-04-22,ONF,2017-08-02,WM,South Korea,170.0,57.0,Seoul,M,23,19.723183391003463,2017,2024,7
Hyojung,Choi Hyojung,1994-07-28,Oh My Girl,2015-04-21,WM,South Korea,160.0,46.0,Yangyang,F,21,17.968749999999996,2015,2024,9
Hyomin,Park Sunyoung,1989-05-30,T-ara,2009-07-29,MBK,South Korea,167.0,43.0,Busan,F,20,15.418265265875435,2009,2024,15
Hyori,Inn Hyori,2000-06-02,mimiirose,2022-09-16,YES IM,South Korea,161.0,57.0,Unknown,F,22,21.98989236526368,2022,2024,2
Hyorin,Kim Hyojung,1990-12-11,SISTAR,2010-03-06,Starship,South Korea,170.0,57.0,Unknown,F,19,19.723183391003463,2010,2024,14
Hyosun,Lim Hyosun,1998-07-10,H.U.B,2017-02-09,New Planet,South Korea,170.0,54.0,Unknown,F,19,18.68512110726644,2017,2024,7
Hyosung,Jun Hyoseong,1989-10-13,SECRET,2009-10-13,TS,South Korea,170.0,57.0,Cheongju,F,20,19.723183391003463,2009,2024,15
Hyoyeon,Kim Hyoyeon,1989-09-22,SNSD,2021-08-04,Good Luck,South Korea,158.0,48.0,Incheon,F,32,19.227687870533565,2021,2024,3
Hyuk,Yang Hyuk,2000-03-15,OMEGA X,2016-10-17,JT Corea,South Korea,183.0,67.0,Unknown,M,17,20.00656932126967,2016,2024,8
Hyuk,Koo Bonhyuk,2000-04-17,TEMPEST,2022-03-02,Yuehua,South Korea,170.0,57.0,Unknown,M,22,19.723183391003463,2022,2024,2
Hyuk,Han Sanghyuk,1995-07-05,VIXX,2012-05-24,Jellyfish,South Korea,181.0,62.0,Daejeon,M,17,18.924941241109856,2012,2024,12
Hyukjin,Jang Hyukjin,1993-12-20,100%,2012-09-18,TOP Media,South Korea,170.0,57.0,Busan,M,19,19.723183391003463,2012,2024,12
Hyun,Park Sunghyun,1997-08-25,7 O'clock,2014-08-26,Jungle,South Korea,176.0,58.0,Suwon,M,17,18.72417355371901,2014,2024,10
HyunA,Kim Hyuna,1992-06-06,4minute,2009-06-15,Cube,South Korea,164.0,57.0,Jeolla,F,17,21.192742415229034,2009,2024,15
Hyunbin,Moon Hyunbin,2000-02-26,Ciipher,2021-03-15,Rain,South Korea,177.0,61.0,Unknown,M,21,19.4707778735357,2021,2024,3
Hyunbin,Kwon Hyunbin,1997-03-04,JBJ,2017-10-18,Fave,South Korea,170.0,57.0,Seoul,M,21,19.723183391003463,2017,2024,7
Hyunbin,Kim Hyunbin,2004-05-26,TRI.BE,2021-02-17,TR - Mellow,South Korea,170.0,57.0,Unknown,F,17,19.723183391003463,2021,2024,3
Hyungseo,Myeong Hyeongseo,2001-06-25,CLASS:y,2022-05-05,Universal,South Korea,160.0,44.0,Unknown,F,21,17.187499999999996,2022,2024,2
Hyungseok,Song Hyungseok,2002-11-06,YOUNITE,2022-04-20,Brand New,South Korea,170.0,57.0,Unknown,M,19,19.723183391003463,2022,2024,2
Hyungseop,Ahn Hyungseop,1999-08-09,TEMPEST,2022-03-02,Yuehua,South Korea,173.0,58.0,Unknown,M,23,19.37919743392696,2022,2024,2
Hyungsik,Park Hyungsik,1991-11-16,ZE:A,2010-01-07,Star Empire,South Korea,170.0,57.0,Yongin,M,18,19.723183391003463,2010,2024,14
Hyungwon,Chae Hyungwon,1994-01-15,MONSTA X,2014-05-14,Starship,South Korea,170.0,57.0,Gwangju,M,20,19.723183391003463,2014,2024,10
Hyunho,Lee Hyunho,1998-11-04,D-CRUNCH,2018-08-06,All-S,South Korea,170.0,57.0,Unknown,M,20,19.723183391003463,2018,2024,6
Hyunjae,Lee Jaehyun,1997-09-13,The Boyz,2017-12-31,Cre.Ker,South Korea,180.0,62.0,Unknown,M,20,19.1358024691358,2017,2024,7
Hyunji,Kim Hyunji,1992-06-30,Hash Tag,2017-10-11,LUK,South Korea,165.0,57.0,Unknown,F,25,20.936639118457304,2017,2024,7
Hyunjin,Kim Hyunjin,2000-11-15,LOONA,2018-08-20,Blockberry,South Korea,170.0,57.0,Jeonju,F,18,19.723183391003463,2018,2024,6
Hyunjin,Hwang Hyunjin,2000-03-20,Stray Kids,2018-03-25,JYP,South Korea,170.0,57.0,Seoul,M,18,19.723183391003463,2018,2024,6
Hyunjoo,Lee Hyunjoo,1998-02-05,UNI.T,2018-05-18,Unit Culture,South Korea,170.0,57.0,Seoul,F,20,19.723183391003463,2018,2024,6
Hyunjun,Bae Hyunjun,2003-06-06,ATBO,2022-07-27,IST,South Korea,180.0,57.0,Seoul,M,19,17.59259259259259,2022,2024,2
Hyunjun,Lee Hyunjun,1999-12-21,IZ,2017-08-31,Music K,South Korea,170.0,57.0,Unknown,M,18,19.723183391003463,2017,2024,7
Hyunkyung,Kim Hyunjong,1998-09-05,Romeo,2015-11-04,CT,South Korea,170.0,57.0,Unknown,M,17,19.723183391003463,2015,2024,9
Hyunoh,Park Hyunoh,1999-02-12,D-CRUNCH,2018-08-06,All-S,South Korea,170.0,57.0,Unknown,M,19,19.723183391003463,2018,2024,6
Hyunseong,Shim Hyunseong,1993-06-09,Boyfriend,2011-05-26,Starship,South Korea,178.0,58.0,Yeongcheon,M,18,18.30576947355132,2011,2024,13
Hyunseung,Kim Hyunseung,2002-10-15,YOUNITE,2022-04-20,Brand New,South Korea,170.0,57.0,Unknown,M,20,19.723183391003463,2022,2024,2
Hyunsik,Lim Hyunsik,1992-03-07,BtoB,2012-03-21,Cube,South Korea,177.0,66.0,Ilsan,M,20,21.06674327300584,2012,2024,12
Hyunsoo,Kim Hyunsoo,1995-04-12,D1CE,2019-08-01,Happyface,South Korea,176.0,60.0,Unknown,M,24,19.369834710743802,2019,2024,5
Hyunsoo,Jang Hyunsoo,2003-09-16,TNX,2022-05-17,P NATION,South Korea,170.0,57.0,Sangju,M,19,19.723183391003463,2022,2024,2
Hyunsuk,Yoon Hyunsuk,2001-09-08,CIX,2019-07-23,C9,South Korea,188.0,57.0,Unknown,M,18,16.127206880941603,2019,2024,5
Hyunsuk,Choi Hyunsuk,1999-04-21,Treasure,2020-08-07,YG,South Korea,170.0,57.0,Daegu,M,21,19.723183391003463,2020,2024,4
Hyunuk,Han Hyunuk,1994-09-26,IN2IT,2016-01-27,Star Empire,South Korea,179.0,63.0,Unknown,M,21,19.66230766829999,2016,2024,8
Hyunwoo,Baek Hyunwoo,1999-03-19,D-CRUNCH,2018-08-06,All-S,South Korea,170.0,57.0,Unknown,M,19,19.723183391003463,2018,2024,6
Hyunwoo,Kim Hyunwoo,2001-01-21,TRCNG,2017-10-10,TS,South Korea,173.0,57.0,Unknown,M,17,19.045073340238563,2017,2024,7
Hyunwoo,Choi Hyunwoo,2004-12-04,xikers,2023-03-30,KQ,South Korea,170.0,57.0,Gangwon,M,18,19.723183391003463,2023,2024,1
Hyunwook,Ji Hyunwook,1998-07-01,D-CRUNCH,2018-08-06,All-S,South Korea,170.0,57.0,Unknown,M,20,19.723183391003463,2018,2024,6
Hyunwoong,Kim Hyunwoong,1998-02-08,14U,2017-04-17,BG,South Korea,170.0,57.0,Unknown,M,19,19.723183391003463,2017,2024,7
Hyunyoung,Cho Hyunyoung,1991-08-11,Rainbow,2009-11-12,DSP,South Korea,160.0,41.0,Seoul,F,18,16.015624999999996,2009,2024,15
I.L,Kim Jiwon,1997-07-01,IRRIS,2022-07-06,Mellow,South Korea,170.0,57.0,Daegu,F,25,19.723183391003463,2022,2024,2
I.M,Lim Changkyun,1996-01-26,MONSTA X,2014-05-14,Starship,South Korea,170.0,57.0,Gwangju,M,18,19.723183391003463,2014,2024,10
I.N,Yang Jeongin,2001-02-08,Stray Kids,2018-03-25,JYP,South Korea,170.0,57.0,Busan,M,17,19.723183391003463,2018,2024,6
Iaan,Yoo Dongju,2002-03-22,XUM,2020-09-22,A100,South Korea,170.0,57.0,Unknown,F,19,19.723183391003463,2020,2024,4
Ida,Ko Chaeyoung,2000-05-19,MAJORS,2021-03-09,ANS,South Korea,163.0,43.0,Unknown,F,21,16.184274906846326,2021,2024,3
Ilhoon,Jung Ilhoon,1994-10-04,BtoB,2012-03-21,Cube,South Korea,176.0,64.0,Seoul,M,17,20.66115702479339,2012,2024,12
Inho,Hwang Inho,1993-06-21,IN2IT,2016-01-27,Star Empire,South Korea,177.0,58.0,Unknown,M,23,18.513198633853616,2016,2024,8
Inpyo,Lee Inpyo,1995-08-14,IN2IT,2016-01-27,Star Empire,South Korea,182.0,66.0,Unknown,M,20,19.925129815239703,2016,2024,8
Inseong,Jeong Inseong,1994-07-01,KNK,2016-03-03,YNB,South Korea,183.0,71.0,Unknown,M,22,21.20099137030069,2016,2024,8
Inseong,Kim Inseong,1993-07-12,SF9,2016-10-05,FNC,South Korea,170.0,57.0,Unknown,M,23,19.723183391003463,2016,2024,8
Insoo,Kang Insoo,1988-03-10,MYNAME,2011-10-27,H2,South Korea,170.0,57.0,Suwon,M,24,19.723183391003463,2011,2024,13
Intak,Hwang Intak,2003-08-31,P1Harmony,2020-10-28,FNC,South Korea,170.0,57.0,Unknown,M,17,19.723183391003463,2020,2024,4
Ireh,Cho Seoyoung,2002-04-30,Purple Kiss,2021-03-15,RBW,South Korea,170.0,57.0,Unknown,F,19,19.723183391003463,2021,2024,3
Irene,Bae Juhyun,1991-03-29,Red Velvet,2014-08-01,SM,South Korea,161.0,57.0,Daegu,F,23,21.98989236526368,2014,2024,10
Isa,Lee Chaeyoung,2002-01-23,STAYC,2020-11-12,Hi-Up,South Korea,165.0,45.0,Busan,F,19,16.528925619834713,2020,2024,4
Isaac,Voo Isaak,1994-12-12,IN2IT,2016-01-27,Star Empire,Malaysia,176.0,56.0,Unknown,M,21,18.078512396694215,2016,2024,8
Ivan,Park Yooseong,2001-10-12,Kingdom,2021-02-18,GF,South Korea,170.0,57.0,Unknown,M,19,19.723183391003463,2021,2024,3
J,Lee Yeji,1998-02-12,ANS,2019-09-16,ANS,South Korea,170.0,57.0,Unknown,F,22,19.723183391003463,2019,2024,5
J,Jang Yeeun,2004-12-09,STAYC,2020-11-12,Hi-Up,South Korea,170.0,48.0,Daejeon,F,16,16.60899653979239,2020,2024,4
J.Min,Shin Minjung,1994-11-20,Tiny-G,2012-08-23,GNG,South Korea,155.0,57.0,Unknown,F,18,23.725286160249738,2012,2024,12
J.seph,Kim Taehyung,1992-06-21,KARD,2007-03-29,DSP,South Korea,170.0,57.0,Unknown,M,15,19.723183391003463,2007,2024,17
J.YOU,Kim Jaeyu,2000-11-02,TOO,2020-04-01,n.CH,South Korea,170.0,57.0,Unknown,M,19,19.723183391003463,2020,2024,4
Jackie,Kang Chaeyeon,2001-11-17,ICHILLIN',2021-09-08,KM,USA,170.0,57.0,Los Angeles,F,20,19.723183391003463,2021,2024,3
Jackson,Jackson Wang,1994-03-28,GOT7,2014-01-16,JYP,Hong Kong,174.0,63.0,Hong Kong,M,20,20.808561236623067,2014,2024,10
Jacob,Bae Joonyoung,1997-05-30,The Boyz,2017-12-31,Cre.Ker,South Korea,175.0,60.0,Toronto,M,21,19.591836734693878,2017,2024,7
Jacob,Zhang Peng,1996-09-07,VAV,2015-10-31,A team,China,184.0,63.0,Unknown,M,19,18.608223062381853,2015,2024,9
Jae,Park Jaehyung,1992-09-15,DAY6,2015-09-07,JYP,South Korea,170.0,57.0,Buenos Aires,M,23,19.723183391003463,2015,2024,9
Jaebin,Deung Bin,1997-02-13,VARSITY,2017-01-05,GKC,China,168.0,57.0,Hunan,M,20,20.19557823129252,2017,2024,7
Jaechan,Park Jaechan,2001-12-06,Dongkiz,2019-04-24,Dongyo,South Korea,177.0,58.0,Unknown,M,17,18.513198633853616,2019,2024,5
Jaehan,Kim Jaehan,1995-07-01,OMEGA X,2016-10-17,JT Corea,South Korea,170.0,57.0,Unknown,M,21,19.723183391003463,2016,2024,8
Jaehee,Lee Jaehee,2004-03-18,Weeekly,2020-07-30,Play M,South Korea,166.0,57.0,Unknown,F,16,20.685150239512268,2020,2024,4
Jaeho,Kim Jaeho,1992-09-17,HISTORY,2013-04-26,LOEN,South Korea,174.0,58.0,Unknown,M,21,19.157088122605362,2013,2024,11
Jaehwan,Kim Jaehwan,1996-05-27,Wanna One,2017-08-07,YMC,South Korea,170.0,57.0,Seoul,M,21,19.723183391003463,2017,2024,7
Jaehyo,Ahn Jaehyo,1990-12-23,Block B,2011-04-15,KQ,South Korea,182.0,60.0,Busan,M,20,18.11375437749064,2011,2024,13
Jaehyuk,Yoon Jaehyuk,2001-07-23,Treasure,2020-08-07,YG,South Korea,170.0,57.0,Unknown,M,19,19.723183391003463,2020,2024,4
Jaehyun,Bong Jaehyun,1999-01-04,Golden Child,2017-08-28,Woollim,South Korea,170.0,57.0,Unknown,M,19,19.723183391003463,2017,2024,7
Jaehyun,Kim Jaehyun,1994-07-15,N.Flying,2015-05-20,FNC,South Korea,170.0,57.0,Seoul,M,21,19.723183391003463,2015,2024,9
Jaehyun,Jung Yoonoh,1997-02-14,NCT,2016-04-09,SM,South Korea,170.0,57.0,Seoul,M,19,19.723183391003463,2016,2024,8
Jaejin,Lee Jaejin,1991-12-17,FTISLAND,2007-06-07,FNC,South Korea,170.0,57.0,Cheongju,M,15,19.723183391003463,2007,2024,17
Jaejoong,Kim Jaejoong,1986-01-26,JYJ,2010-09-08,C-JeS,South Korea,170.0,57.0,Gongju,M,25,19.723183391003463,2010,2024,14
Jaekyung,Kim Jaekyung,1988-12-24,Rainbow,2009-11-12,DSP,South Korea,168.0,45.0,Seoul,F,21,15.94387755102041,2009,2024,15
Jaemin,Na Jaemin,2000-08-13,NCT,2016-04-09,SM,South Korea,170.0,57.0,Unknown,M,16,19.723183391003463,2016,2024,8
Jaemin,Shin Jaemin,1996-06-08,XEED,2022-12-01,Nature Space,South Korea,170.0,57.0,Unknown,M,26,19.723183391003463,2022,2024,2
Jaeun,Ha Jaeun,1999-09-28,ARGON,2019-03-11,MSH,South Korea,170.0,57.0,Unknown,M,19,19.723183391003463,2019,2024,5
Jaeyoon,Lee Jaeyoon,1994-08-09,SF9,2016-10-05,FNC,South Korea,170.0,57.0,Unknown,M,22,19.723183391003463,2016,2024,8
Jaeyun,Moon Jaeyun,2002-07-02,8TURN,2023-01-30,MNH,New Zealand,178.0,64.0,Unknown,M,21,20.199469763918696,2023,2024,1
Jaeyun,Lee Jaeyun,2000-08-16,TOO,2020-04-01,n.CH,South Korea,170.0,57.0,Unknown,M,20,19.723183391003463,2020,2024,4
Jahan,Im Jihun,2002-08-01,Kingdom,2021-02-18,GF,South Korea,170.0,57.0,Unknown,M,19,19.723183391003463,2021,2024,3
Jake,Shim Jaeyoon,2002-11-15,ENHYPEN,2020-11-30,Be:lift,South Korea,170.0,57.0,Unknown,M,18,19.723183391003463,2020,2024,4
